coin,earliest_trade_date,network_date,user1,user1_num_mentions,user1_num_posts,user1_num_subjects,user1_days_since_first_post,user1_degree_total,user1_degree_incoming,user1_degree_outgoing,user1_clustering_coefficient,user1_closeness_centrality_unweighted,user1_closeness_centrality_weighted,user1_closeness_centrality_incoming_unweighted,user1_closeness_centrality_outgoing_unweighted,user1_closeness_centrality_incoming_weighted,user1_closeness_centrality_outgoing_weighted,user1_satoshi_distance,user1_satoshi_pagerank_weighted,user1_pagerank_weighted
MNC,2013-05-03,2013-04-13,vipah,1,6,2,1,5,5,0,0.3,0.02020981,0.02084603,0.001203863,0.0001156203,0.001205443,0.0001156203,4,3.321698e-05,9.12782e-05
MAX,2014-02-12,2014-01-30,maxcoinproject,1,2,1,1,147,147,0,0.01509645,0.003049752,0.003056286,0.0003070312,2.880018e-05,0.0003070883,2.880018e-05,3,0.0001165422,0.0003318815
FFC,2014-10-26,2014-01-16,argakiig,1,271,8,25,11,0,11,0.2181818,0.003814267,0.00382522,3.386043e-05,4.750889e-05,3.386043e-05,4.750934e-05,inf,1.616556e-06,6.747714e-06
GUA,2014-11-23,2014-12-21,guaranycrypto,1,0,0,1,3,3,0,0.3333333,0.001218598,0.001220052,9.643464e-05,1.434741e-05,9.644e-05,1.434741e-05,5,2.464447e-06,8.550606e-06
BEN,2014-02-27,2014-02-03,AllAboutTheBenjaminsBaby,1,415,10,1,26,25,1,0.03384615,0.002914086,0.002921265,0.0002976656,3.771871e-05,0.0002977492,3.771899e-05,4,9.096778e-06,3.389358e-05
GUE,2014-06-23,2014-06-18,guerillacoin,1,21,1,1,6,6,0,0.0,0.00153502,0.001536844,0.0001242423,1.730852e-05,0.0001242505,1.730852e-05,4,1.420926e-06,5.436087e-06
DTC,2013-12-07,2013-12-04,mstfck,1,38,4,11,10,6,4,0.3611111,0.006267815,0.006335975,0.0006208276,7.492404e-05,0.000621407,7.492696e-05,4,1.042668e-05,3.633174e-05
GUN,2014-05-11,2014-03-04,guncoin_support,1,96,1,1,0,0,0,0.0,2.335466e-05,2.335466e-05,2.335466e-05,2.335466e-05,2.335466e-05,2.335466e-05,inf,1.142853e-06,4.910684e-06
YBC,2014-01-16,2013-07-04,mikaelh,1,142,4,17,20,16,4,0.1684211,0.01146983,0.01161472,0.0008684681,0.0001065098,0.0008690897,0.0001065127,4,1.643221e-05,5.366801e-05
BET,2013-12-14,2013-10-31,betacoindev,1,84,4,1,11,11,0,0.03636364,0.009141163,0.009226219,0.0007074489,5.819367e-05,0.000707972,5.819367e-05,4,3.450538e-05,0.0001100885
TTY,2015-01-18,2014-07-16,TrinityCoin,1,65,1,1,57,57,0,0.01378446,0.001455378,0.00145687,0.0001145816,1.656671e-05,0.0001145894,1.656671e-05,4,1.045852e-05,3.487475e-05
HUC,2014-02-14,2013-09-25,snailbrain,1,352,15,811,196,157,39,0.05428493,0.009204118,0.009290523,0.0007311106,9.026421e-05,0.0007314821,9.026647e-05,3,0.0001620102,0.0004122827
TTC,2014-11-08,2014-01-30,vertoe,1,210,12,2,5,1,4,0.0,0.003044616,0.003054321,0.0003051752,3.927932e-05,0.0003052443,3.927974e-05,5,1.475315e-06,6.112676e-06
GRT,2015-07-27,2015-05-04,The Grantcoin Foundation,1,42,1,1,5,5,0,0.0,0.001111278,0.001112155,8.771231e-05,1.353894e-05,8.771723e-05,1.353894e-05,4,5.46733e-06,1.1154e-05
GRS,2014-04-11,2014-03-23,gruve_p,1,24,1,1,31,31,0,0.0172043,0.001801246,0.001803616,0.000186376,2.157637e-05,0.0001863922,2.157637e-05,4,8.564938e-06,3.118297e-05
SOLE,2014-08-21,2014-08-09,solecoin,1,50,1,1,15,15,0,0.02857143,0.001409973,0.00141161,0.000112098,1.603335e-05,0.0001121045,1.603335e-05,4,4.634485e-06,1.801691e-05
FTC,2013-05-03,2013-04-22,thep33t,1,141,1,5,4,1,3,0.6666667,0.01743347,0.01778015,0.0001082603,0.0001705638,0.0001082603,0.0001705762,inf,5.634986e-06,2.318041e-05
GRE,2014-06-23,2014-06-03,ncsupanda,1,104,5,104,14,7,7,0.02197802,0.001559248,0.001561465,0.0001300268,2.329669e-05,0.000130039,2.329679e-05,4,2.099331e-06,8.028088e-06
GRC,2015-02-28,2013-10-30,prophetx,1,351,7,175,30,2,28,0.1126437,0.009105702,0.009179146,0.0007069303,8.714128e-05,0.0007074686,8.714324e-05,4,4.259486e-06,1.522673e-05
BLK,2014-02-28,2014-05-08,Soepkip,1,49,1,1085,130,105,25,0.01249844,0.001642203,0.001644056,0.0001445471,2.508872e-05,0.0001445596,2.508884e-05,3,6.719455e-05,0.0001504201
BLC,2014-02-12,2013-10-08,BlueDragon747,1,332,3,49,26,24,2,0.04615385,0.009243444,0.009318757,0.0007090596,8.910376e-05,0.0007095117,8.910673e-05,4,1.879327e-05,5.929914e-05
ZS,2014-05-02,2014-04-26,CryptoGir,1,23,1,43,36,33,3,0.02857143,0.001657668,0.001660045,0.0001561593,2.615605e-05,0.0001561786,2.615619e-05,4,5.186041e-06,2.100153e-05
HYPER,2014-05-31,2013-05-31,shakezula,1,1101,25,40,275,153,122,0.1295876,0.01272367,0.0129043,0.000889105,0.0001209835,0.0008898568,0.0001209885,3,0.0002852027,0.0007940856
MI,2015-09-04,2015-06-12,xiaomicoin,1,5,1,1,4,4,0,0.0,0.001089816,0.001091093,8.54239e-05,1.336148e-05,8.542855e-05,1.336148e-05,4,1.137944e-06,4.64618e-06
EMC2,2014-04-09,2014-03-02,einsteinium,1,71,4,1,71,71,0,0.02052314,0.002100644,0.002103908,0.0002249608,2.356712e-05,0.0002249965,2.356712e-05,4,2.248343e-05,7.896114e-05
DON,2014-06-15,2014-04-22,Donationcoin,1,230,11,2,16,16,0,0.03333333,0.001663081,0.001665531,0.0001622125,1.993581e-05,0.0001622282,1.993581e-05,4,3.993191e-06,1.453967e-05
SPT,2013-07-25,2013-12-26,binaryclock,1,0,0,11,41,27,14,0.04634146,0.00444312,0.004464486,0.0004554717,5.766469e-05,0.0004556563,5.766552e-05,4,1.349178e-05,5.338227e-05
GLC,2013-08-04,2013-06-29,erundook,1,703,31,51,194,172,22,0.1011334,0.01126109,0.01141475,0.0008651538,0.0001090549,0.0008659027,0.0001090584,3,0.0003253107,0.0009405015
GLD,2013-06-14,2013-05-21,JohnyBigs,1,80,3,7,20,12,8,0.3368421,0.0138586,0.01406877,0.0009265028,0.0001278628,0.0009271225,0.0001278682,4,2.345504e-05,6.537641e-05
SMC,2014-02-06,2014-01-07,smartcoin,1,82,2,1,30,30,0,0.01609195,0.003826638,0.00383863,0.0003861629,3.653635e-05,0.0003862589,3.653635e-05,4,9.26988e-06,3.490748e-05
RED,2014-01-24,2014-01-02,cozie,1,120,12,311,89,83,6,0.06537283,0.00387833,0.003890081,0.0004090031,5.358268e-05,0.0004091072,5.358335e-05,3,5.73267e-05,0.0001561996
CLAM,2014-08-25,2014-05-25,SuperClam,1,196,1,1,32,32,0,0.0,0.001591266,0.001593339,0.0001330642,1.807534e-05,0.0001330733,1.807534e-05,5,4.276707e-06,1.744137e-05
FCN,2014-06-08,2014-04-27,amphibian,1,118,6,1,2,1,1,0.0,0.00165303,0.001656723,1.964058e-05,2.609061e-05,1.964058e-05,2.609071e-05,inf,1.155436e-06,4.874679e-06
BSC,2015-07-13,2015-04-28,Bowscoin_dev,1,46,1,1,8,8,0,0.03571429,0.001114279,0.001115454,8.840194e-05,1.357829e-05,8.841012e-05,1.357829e-05,5,8.699849e-07,3.587602e-06
FC2,2014-06-12,2014-05-01,FuelCoinTeam,1,26,1,1,14,14,0,0.01098901,0.001640407,0.001642668,0.0001487197,1.936858e-05,0.0001487442,1.936858e-05,5,4.677545e-06,1.787044e-05
LTC,2013-04-28,2013-03-27,Ltcfaucet,1,32,2,3,9,2,7,0.3611111,0.02437846,0.02489468,0.0001303611,0.000212008,0.0001303611,0.0002120226,inf,1.265067e-05,5.134505e-05
UNITY,2014-10-01,2014-08-31,jl777,1,565,7,251,141,107,34,0.0699476,0.001368205,0.001370325,0.0001078631,2.048194e-05,0.00010787,2.048205e-05,3,4.438698e-05,0.0001448964
AUR,2014-02-27,2014-02-03,balduro,1,31,1,1,5,5,0,0.0,0.002910747,0.002917964,0.00029769,2.781254e-05,0.0002977509,2.781254e-05,4,1.628317e-06,6.7918e-06
XTC,2014-10-25,2014-08-30,ASIC-8Tile,1,102,1,311,16,12,4,0.025,0.001371359,0.001373377,0.0001079824,2.050163e-05,0.0001079889,2.050174e-05,4,1.696116e-06,6.827407e-06
FETISH,2014-10-20,2014-09-20,altcoin.center,1,51,3,12,3,0,3,0.0,0.001323361,0.001324997,1.526764e-05,2.006191e-05,1.526764e-05,2.006202e-05,inf,8.510332e-07,3.549626e-06
LEAF,2014-02-02,2014-01-25,mcg,1,118,7,29,148,147,1,0.02279831,0.003333105,0.00334436,0.0003175455,4.206965e-05,0.0003176214,4.207013e-05,4,8.042603e-05,0.000268755
MOTO,2014-06-03,2014-05-02,WilliamLie2,1,84,2,1,11,11,0,0.09090909,0.00164133,0.001643326,0.0001481344,1.931994e-05,0.0001481533,1.931994e-05,4,2.820012e-06,9.216432e-06
XWC,2014-04-18,2014-10-01,WhitecoinFoundation,1,0,0,1,11,11,0,0.0,0.001287754,0.001289258,0.0001036602,1.510711e-05,0.0001036669,1.510711e-05,4,2.355046e-06,9.496892e-06
ALN,2014-03-15,2014-01-10,Aliencoin,1,86,6,1,23,23,0,0.07905138,0.003606482,0.003617311,0.0003606972,3.545094e-05,0.0003607877,3.545094e-05,4,1.413751e-05,5.232112e-05
ALF,2013-07-07,2013-07-17,d2.cc,1,96,5,72,714,696,18,0.009497622,0.01128781,0.0114201,0.000852028,0.0001022113,0.0008527715,0.0001022155,2,0.0006835948,0.002229882
SBC,2013-07-07,2013-06-08,artos,1,59,4,1,78,74,4,0.06631579,0.01250768,0.01263082,0.0008665261,0.0001177035,0.0008670828,0.0001177078,3,9.263349e-05,0.0002901934
ORB,2013-12-21,2014-03-07,mill0601,1,667,92,324,448,269,179,0.1038007,0.001985563,0.001990301,0.0002118729,3.069516e-05,0.0002119169,3.069536e-05,3,0.0002180176,0.0005088108
MMC,2013-12-24,2013-12-15,FreeTrade,1,663,36,806,496,450,46,0.04342613,0.005038574,0.005066193,0.0005505084,6.722004e-05,0.0005507811,6.722112e-05,2,0.0009061588,0.001567837
GLYPH,2014-06-17,2014-06-09,GLYPH,1,7,1,1,14,14,0,0.05494505,0.001576945,0.001578936,0.0001267851,1.755495e-05,0.0001267993,1.755495e-05,4,2.036021e-06,7.658095e-06
I0C,2013-11-27,2013-08-18,rsnel,1,63,2,19,23,21,2,0.2094862,0.01000929,0.01008753,0.000784936,9.560389e-05,0.0007854143,9.560665e-05,3,5.27016e-05,0.000127355
BAT,2014-03-03,2014-01-11,cozie,1,122,13,320,105,94,11,0.06777446,0.003747793,0.003758965,0.0003655035,4.937846e-05,0.0003655851,4.937901e-05,3,8.59548e-05,0.0002561775
DOGE,2013-12-15,2013-12-09,Dogecoin,1,24,2,1,97,96,1,0.02362543,0.005746156,0.005771738,0.0005930207,7.184961e-05,0.0005932514,7.185063e-05,3,0.0001191474,0.0003724008
FUTC,2015-07-21,2015-02-20,FUTCOIN,1,3,1,1,11,11,0,0.0,0.00114774,0.00114883,9.24764e-05,1.394817e-05,9.248263e-05,1.394817e-05,4,1.32422e-06,4.825633e-06
TOR,2014-07-12,2014-07-05,torcoin,1,21,1,1,31,31,0,0.0172043,0.001483271,0.001485006,0.000117251,1.682907e-05,0.0001172579,1.682907e-05,4,2.628062e-06,1.029384e-05
TOP,2014-02-17,2014-02-03,topdude,1,44,5,1,46,45,1,0.01352657,0.002915115,0.002922078,0.0002976835,3.771931e-05,0.0002977504,3.771964e-05,3,1.243757e-05,4.476895e-05
CAP,2013-07-04,2013-12-29,binaryclock,1,0,0,14,51,34,17,0.03591837,0.004272779,0.004292147,0.0004348974,5.559377e-05,0.0004350748,5.559452e-05,4,3.286075e-05,0.0001177787
BAY,2014-11-16,2014-10-31,BitBay Team,1,107,2,1,10,10,0,0.02222222,0.001258635,0.001260123,0.0001010965,1.476233e-05,0.0001011049,1.476233e-05,4,4.180198e-06,1.34722e-05
ERC,2015-06-18,2014-05-04,EuropeCoin,1,274,5,1,10,10,0,0.0,0.001637995,0.00164035,0.0001472028,1.922744e-05,0.0001472161,1.922744e-05,4,1.480026e-06,6.147042e-06
ERM,2014-12-25,2014-10-14,DailyModo,1,720,2,238,90,10,80,0.0329588,0.001285392,0.001286963,0.0001020847,1.966664e-05,0.0001020898,1.966672e-05,4,6.452676e-06,2.226106e-05
BTG,2013-07-04,2013-05-17,mineral,1,109,2,1,52,52,0,0.09426848,0.01370195,0.01384192,0.0009505264,8.594019e-05,0.0009511217,8.594019e-05,3,7.49144e-05,0.0002224755
CELL,2015-01-25,2015-01-09,koko2530,1,51,1,189,15,1,14,0.04761905,0.001181388,0.001182635,1.420091e-05,1.875938e-05,1.420091e-05,1.875947e-05,inf,8.049887e-07,3.345851e-06
VPN,2014-11-23,2014-07-23,vpncoin,1,302,7,1,8,8,0,0.07142857,0.001446313,0.00144835,0.0001125673,1.640259e-05,0.0001125782,1.640259e-05,4,2.951767e-06,1.019781e-05
NEOS,2014-08-25,2014-08-19,twoturtles,1,172,3,202,75,72,3,0.01225225,0.001383051,0.001384422,0.0001106772,2.082822e-05,0.0001106861,2.082829e-05,4,2.747122e-05,8.783781e-05
ZRC,2015-03-03,2015-03-19,gnargnar,1,105,0,318,59,1,58,0.08591467,0.001131222,0.001132283,9.073782e-05,1.826801e-05,9.074376e-05,1.826807e-05,4,9.296082e-07,3.688723e-06
RZR,2014-06-21,2014-06-09,RazorTech,1,39,1,1,9,9,0,0.02777778,0.001576151,0.001578473,0.0001267601,1.755495e-05,0.000126769,1.755495e-05,4,1.301289e-06,5.28865e-06
CACH,2014-02-15,2014-01-06,kalgecin,1,296,6,242,55,38,17,0.1204644,0.003892093,0.003907137,0.0003896992,5.173933e-05,0.0003898126,5.174002e-05,3,7.435133e-05,0.0001858345
CFN,2014-12-16,2014-05-14,ConfessionCoin,1,127,1,1,20,20,0,0.0,0.001616986,0.001619062,0.0001384259,1.857286e-05,0.0001384384,1.857286e-05,4,4.053716e-06,1.688938e-05
GENI,2015-06-26,2015-05-20,Genius dev,1,27,1,1,27,27,0,0.04843305,0.001099815,0.001100759,8.665205e-05,1.345913e-05,8.665692e-05,1.345913e-05,4,3.716462e-06,1.355137e-05
XQN,2014-11-23,2014-11-12,CedricQuotient,1,78,2,1,28,28,0,0.06084656,0.001251205,0.001252489,0.0001003576,1.465201e-05,0.0001003646,1.465201e-05,4,5.388444e-06,1.78358e-05
LIT,2014-07-05,2014-06-13,Lightcoinproject,1,34,1,1,6,6,0,0.0,0.001563826,0.001566114,0.0001257662,1.743558e-05,0.0001257783,1.743558e-05,5,1.107025e-06,4.617553e-06
GHC,2014-10-10,2014-09-26,coinweaver,1,154,5,224,265,256,9,0.01416422,0.001304,0.001305648,0.0001043086,1.993995e-05,0.0001043171,1.994003e-05,3,0.0001160062,0.0003539252
ZNY,2015-07-09,2014-11-08,bitzeny,1,2,1,1,8,8,0,0.07142857,0.00125114,0.001252329,0.0001005678,1.468623e-05,0.0001005751,1.468623e-05,4,1.812377e-06,6.591057e-06
EGG,2015-04-30,2014-04-13,MijntjeGoud,1,171,2,104,57,1,56,0.09022556,0.00170958,0.001712918,0.0001691256,2.715949e-05,0.0001691492,2.715964e-05,4,1.776538e-06,5.766449e-06
SAK,2015-03-08,2014-05-21,SAKTeam,1,1,1,1,7,7,0,0.0,0.001595899,0.001598376,0.0001341838,1.821626e-05,0.0001341989,1.821626e-05,5,1.578654e-06,6.64056e-06
PRC,2014-02-20,2014-01-30,inmean,1,76,4,1,15,15,0,0.01904762,0.003045675,0.003054109,0.0003053551,2.880018e-05,0.0003054154,2.880018e-05,4,4.478475e-06,1.789364e-05
MEOW,2014-01-24,2013-12-25,lonestar108,1,26,2,41,57,55,2,0.02272727,0.004290877,0.004305353,0.0004698534,5.849743e-05,0.0004700022,5.849838e-05,4,7.359616e-05,0.0002466322
PRT,2014-01-22,2014-01-01,moonmoon,1,44,6,1,116,116,0,0.02818591,0.003906042,0.003917612,0.0004114965,3.845119e-05,0.0004116224,3.845119e-05,4,6.956451e-05,0.0002450534
CHA,2014-05-20,2014-03-24,magician,1,35,1,1,6,6,0,0.06666667,0.001799997,0.00180252,0.0001848491,2.149983e-05,0.0001848678,2.149983e-05,3,4.735103e-05,0.000121339
CHC,2015-07-16,2014-01-20,Rolihlahla,1,29,1,29,75,71,4,0.02882883,0.003845195,0.003857368,0.000355085,4.631378e-05,0.0003551771,4.631423e-05,3,1.907905e-05,6.760917e-05
MRY,2014-03-03,2014-01-21,bholzer,1,294,3,175,51,26,25,0.08627451,0.00363676,0.003654337,0.0003437176,4.547601e-05,0.0003438248,4.547661e-05,4,8.377789e-06,3.080037e-05
JAY,2015-04-17,2015-04-03,jones_,1,30,2,76,15,3,12,0.4285714,0.001125791,0.001127655,9.032129e-05,1.816677e-05,9.032831e-05,1.816688e-05,4,1.18843e-06,3.944972e-06
MMNXT,2014-10-22,2015-01-21,Nxtblg,1,1078,14,326,602,274,328,0.0324197,0.001170107,0.001171695,9.395915e-05,1.864927e-05,9.396541e-05,1.864936e-05,3,7.444599e-05,0.0002216025
URO,2014-06-12,2014-05-09,true-asset,1,192,6,1,9,9,0,0.0,0.001635606,0.001638226,0.0001436416,1.890395e-05,0.0001436591,1.890395e-05,4,2.157318e-06,7.949106e-06
MRC,2014-03-03,2014-01-04,MCR,1,107,6,1,8,8,0,0.03571429,0.004009497,0.004023773,0.0004068747,3.751501e-05,0.0004069961,3.751501e-05,4,4.359221e-06,1.530066e-05
MUE,2014-11-01,2014-09-12,Mue,1,99,2,1,5,3,2,0.1,0.001339671,0.001341396,1.538012e-05,2.021074e-05,1.538012e-05,2.021084e-05,inf,9.419707e-07,3.930248e-06
VIA,2014-07-18,2014-07-19,btcdrak,1,196,5,411,333,317,16,0.005589927,0.001458089,0.001460115,0.0001134691,2.165134e-05,0.000113477,2.165142e-05,3,9.750708e-05,0.0003259418
DBL,2013-07-04,2013-06-12,schnebi,1,230,25,40,58,21,37,0.2396925,0.01267505,0.01284235,0.0008581834,0.0001156114,0.0008587807,0.0001156153,3,3.283755e-05,0.0001031573
SFR,2014-06-15,2014-04-28,saffroncoin,1,362,1,1,8,8,0,0.0,0.001640697,0.00164302,0.0001531678,1.957483e-05,0.0001531807,1.957483e-05,4,5.615891e-06,1.973207e-05
PYC,2014-12-06,2013-08-07,deppJ,1,24,2,70,26,25,1,0.1538462,0.01028319,0.01038532,0.0008095215,6.509145e-05,0.0008100795,6.509145e-05,4,5.188277e-05,0.0001508783
KORE,2014-06-21,2015-04-29,MikeMike,1,1,0,411,24,12,12,0.05928854,0.001114453,0.001115617,8.822636e-05,1.799932e-05,8.823247e-05,1.79994e-05,4,4.97979e-06,1.517339e-05
XLB,2014-05-13,2014-05-09,Libertycoin,1,67,6,58,49,49,0,0.01445578,0.001636451,0.001638549,0.0001436532,1.890395e-05,0.00014367,1.890395e-05,3,1.254889e-05,3.859892e-05
SWING,2015-09-28,2013-05-20,zerodrama,1,147,14,19,10,2,8,0.08888889,0.01389009,0.01405131,0.0009351515,0.0001303323,0.000935579,0.0001303367,5,4.402828e-06,1.783708e-05
SLING,2015-04-21,2015-04-21,DG.Slayer,1,3,1,1,85,85,0,0.01820728,0.001118428,0.001119355,8.906942e-05,1.362027e-05,8.90741e-05,1.362027e-05,3,1.284807e-05,4.336e-05
PLNC,2014-04-15,2014-03-11,WalutowyKrol,1,17,1,49,11,6,5,0.0,0.001899987,0.001902865,0.0002042549,3.012076e-05,0.0002042917,3.012091e-05,4,1.74094e-06,6.835847e-06
PKB,2015-05-18,2015-04-30,ParkByte,1,43,2,1,23,23,0,0.07114625,0.00111452,0.00111549,8.812522e-05,1.356282e-05,8.813047e-05,1.356282e-05,4,2.530417e-06,9.550374e-06
TENNET,2015-08-10,2015-06-20,TenneT,1,17,1,1,14,14,0,0.1428571,0.001088902,0.001089836,8.516076e-05,1.332889e-05,8.516576e-05,1.332889e-05,4,8.333472e-06,2.998702e-05
GCC,2015-08-20,2015-06-22,GCMATeam,1,11,2,1,0,0,0,0.0,1.332108e-05,1.332108e-05,1.332108e-05,1.332108e-05,1.332108e-05,1.332108e-05,inf,7.664024e-07,3.17287e-06
DOGED,2014-10-25,2014-10-10,Dogedarkdev,1,46,2,1,21,21,0,0.07619048,0.001283236,0.001284335,0.0001028429,1.500623e-05,0.0001028503,1.500623e-05,4,1.81641e-06,6.844498e-06
CSC,2013-07-25,2013-07-19,transcoder,1,46,4,8,32,31,1,0.1330645,0.01111768,0.01125867,0.0008444944,0.0001017684,0.00084528,0.0001017715,3,3.525567e-05,0.0001081351
GCN,2014-11-16,2014-04-05,Mr G,1,20,1,1,0,0,0,0.0,2.072195e-05,2.072195e-05,2.072195e-05,2.072195e-05,2.072195e-05,2.072195e-05,inf,1.062459e-06,4.507822e-06
SHA,2014-06-25,2014-03-18,matt4054,1,168,4,369,81,26,55,0.0382716,0.001841998,0.001844254,0.0001939763,2.929674e-05,0.0001940021,2.929686e-05,4,1.435555e-05,3.797554e-05
CAGE,2014-04-15,2014-01-02,Nicolas_Cage,1,19,3,1,19,19,0,0.07602339,0.003870654,0.003883215,0.0004090658,3.814028e-05,0.000409216,3.814028e-05,4,1.366005e-05,4.490888e-05
BTQ,2014-07-29,2014-02-16,BitQuark,1,340,1,1,8,8,0,0.0,0.002373103,0.002377955,0.00025297,2.529404e-05,0.0002530135,2.529404e-05,4,2.506433e-06,1.069821e-05
